Id;Question;choiceA;choiceB;choiceC;choiceD;Answer
1;Indonesia merupakan negara kepulauan yang terdiri atas 13.466 pulau. Pemerintahan harus memberikan perhatian kepada semua masyarakat yang berada di setiap penjuru tanah air terutama pulau-pulau terdepan. Inti uraian tersebut sesuai asas wawasan nusantara yaitu ...;Keadilan;Kejujuran;Kepentingan yang sama;Konsesus untuk menjadi satu bangsa;1
2;Indonesia merupakan negara yang dibentuk atas masyarakat plural. Untuk mencapai integrasi nasional semua masyarakat harus mengedepankan sikap tenggang rasa. Sikap tenggang rasa merupakan bentuk pelaksanaan asas wawasan nusantara yaitu …;Keadilan;Kejujuran;Solidaritas;Kerjasama;3
3;Kerjasama merupakan salah satu asas wawasan nusantara. Bentuk implementasi asas ini dalam kehidupan sehari-hari yaitu …;Rafa mengajak aping membaca di perpustakaan;Dimas meminjamkan Aba pensil saat ujian berlangsung;Lala dan suci bekerjasama mengerjakan soal ujian sekolah;Pangeran dan rifat mengerjakan tugas kelompok;4
4;Wawasan nusantara mengajarkan kepada bangsa indonesia mengenal diri dan lingkungan yang beragam. Dengan mengenal diri dan lingkungannya diharapkan bangsa indonseia bisa memperkukuh …;Persatuan dan kesatuan bangsa;Kepentingan golongan masing-masing;Kepentingan setiap individu warga negara;Keinginan dan memperluas wilayah negara Indonesia;1
5;Wujud Pelaksanaan wadah dalam konsep wawasan nusantara yaitu …;Pertanggungjawaban Presiden terhadap rakyat; Pengangkatan mentri-mentri oleh Presiden;Pembentukan mahkama konstitusi; Pemilihan Presiden secara langsung;3
6;"Kata ""wawasan"" berarti wawas yang artinya …";Menciptakan;Memandang;Merefleksi;Memiliki;2
7;Sikap yang harus dikembangkan oleh bangsa Indonesia ditengah keanekaragaman bangsa yaitu …;Memandang keanekaragaman yang dilandasi persatuan dan kesatuan bangsa;Mengikuti ajaran wawasan nusantara untuk menciptakan bangsa yang lebih homogen;Mengutamakan kepentingan pemerintah daripada kepentingan masyarakat yang beragam;Mengupayakan agar bangsa Indonesia lebih homogen untuk memperkukuh persatuan dan kesatuan bangsa;1
8;Pancasila merupakan ideologi negara Indonesia, nilai-nilai yang terdapat dalam setiap sila mencerminkan kehidupan sosial bangsa Indonesia. Dalam konsep wawasan nusantara, Pancasila mempunyai kedudukan sebagai landasan …;Adil;Visional;Konseptual;Operasional;1
9;Keberagaman Indonesia merupakan bagian dari kebhinekaan bangsa Indonesia. Bagi bangsa Indonesia kebhinekaan merupakan jaminan terwujudnya persatuan dan kesatuan. Gagasan untuk menjamin persatuan dan kesatuan dalam kebhinekaan merupakan …;Konsep bangsa Indonesia untuk memperkuat kedudukan sebagai bangsa majemuk; Landasan konseptual bangsa Indonesia dalam melihat diri dan alam Indonesia; Cara hidup bangsa Indonesia untuk mempertahankan kemerdekaan Indonesia;Visi Indonesia untuk mewujudkan bangsa dan negara yang maju;4
10;Wawasan nusantara diyakini kebenarannya oleh bangsa Indonesia. Alasan bangsa Indonesia meyakini kebenaran nusantara yaitu …; Supaya bangsa Indonesia lebih memahami karakteristik alam Indonesia; Agar tidak terjadi penyesatan dalam upaya mewujudkan cita-cita dan tujuan nasional; Untuk meningkatkan kemampuan daya dukung bangsa Indonesia dalam merespon berbagai ancaman;Membantu bangsa Indonesia mewujudkan tata pemerintahan yang ideal berdasarkan kehendak rakyat Indonesia;1
11;Jika dikaitkan dengan wawasan nusantara pelaksanaan pembangunan Indonesia harus sesuai dengan …; Jumlah alokasi dana yang dimiliki negara untuk pembangunan; Landasan-landasan konsepsi ketatanegaraan Indonesia;Keinginan warga negara Indonesia ditiap-tiap daerah; Wilayah negara Indonesia yang berbukit-bukit;1
12;Wawasan nusantara berfungsi sebagai pedoman bangsa Indonesia untuk …;Berperilaku sesuai nilai-nilai pancasila; Menciptakan tata negara yang baik;Menumbuhkan semangat memperluas wilayah negara;Bersikap seusai asas-asas kedaerahan masing-masing;1
13;Melalui wawasan nusantara diharapkan warga negara Indonesia …; Mampu menciptakan pandangan baru bagi dunia;Mendukung pemerintah dalam semua perjanjian Internasional;Mewujudkan cita-cita meraih kemerdekaan;Mempunyai pandangan yang sama tentang persatuan dan kesatuan;4
14;Didalam negara adanya warga negara yang memiliki … atas warga negara tersebut;Kekuasaan;Kewajiban;Hak dan Kewajiban;Kedaulatan;3
15;Salah satu kewajiban warga negara terhadap negaranya adalah …;Memiliki kedudukan yang sama dimata hukum dan didalam pemerintahan;Mempertahankan wilayah negara kesatuan Indonesia/NKRI dari serangan musuh; Mendapatkan pekerjaan yang layak;Kemerdekaan berserikat, berkumpul, mengeluarkan pendapat secara lisan dan tulisan sesuai dengan undang-undang yang berlaku;2
16;Sikap warga negara Indonesia yang telah mempelajari wawasan nusantara tercermin dalam tindakan …;Selalu mengagung-agungkan kebudayaan daerah tempat tinggal; Merasa rendah hati sebagai warga negara Indonesia; Menutup diri dari pergaulan dunia internasional;Bangga menjadi bagian dari negara Indonesia;4
17;Hal yang tidak mungkin dilakukan warga negara Indonesia yang telah dipelajari wawasan nusantara adalah …;Mencela kebudayaan daerah-daerah lain;Memuji keanekaragaman suku bangsa Indonesia ke dunia;Memperkenalkan keanekaragaman Indonesia kepada dunia;Menciptakan keharmonisan dalam hubungan antar masyarakat;1
18;Indonesia merupakan negara kepulauan yang memiliki batas wilayah antar dua samudra dan dua benua yaitu …;Benua asia dan benua afrika;Benua australia dan benua asia;Benua afrika dan benua amerika; Samudra hindia dan Samudra atlantik;2
19;Salah satu faktor yang mempengaruhi ketahanan nasional yaitu komposisi penduduk, komposisi penduduk merupakan susunan penduduk berdasarkan …;Jenis kelamin, pendidikan, dan lapangan kerja; Usia, jenis kelamin, dan lapangan kerja;Mobilitas, natalitas dan mortalitas; Mortalitas, fertilitas dan migrasi;3
20;Cinta tanah air dan bangsa merupakan perwujudan upaya pembelaan negara. Salah saut upaya bela negara berdasarkan rasa cinta tanah air ialah …;Menggunakan produk dalam negeri karena dapat menggerakan roda perekonomian; Lebih baik membeli barang luar negeri daripada membuat sendiri;Menganggap derajat bangsanya paling unggul dibandingkan negara lain;Lebih baik mengasingkan diri bangsa lain daripada meniru budaya bangsa lain;1
21;yang dimaksud dengan hakikat wawasan nusantara yaitu ...; Cara pandang utuh dalam lingkup nusantara demi nasional;Berbeda-beda tapi tetap satu; Mementingkan golongan pribadi daripada bangsa;Menganggap bangsa sendiri lebih baik daripada bangsa lain;1
22;Keberagaman harus membentuk masyarakat Indonesia yang memiliki toleransi dan sikap saling menghargai. Oleh karena itu diperlukan adanya …; Komitmen persatuan bangsa dalam keberagaman; Komitmen untuk membangun daerahnya masing-masing; Komitmen untuk mensejahterakan rakyat di daerah tertinggal;Komitmen untuk memajukan daerhanya dalam bingkai persatuan;1
23;Persatuan dalam keberagaman harus dipahami oleh setiap warga masyarakat agar dapat mewujudkan hal hal berikut ini, kecuali …; Pembangunan berjalan lancar;Pergaulan antar sesama yang lebih akrab;Kehidupan yang serasi, selaras, dan seimbang;Terbentuknya satu masyarakat yang sama ras, agama, suku dan bahasa;4
24;Persatuan dan kesatuan bangsa sangat penting bagi bangsa Indonesia, hal itu karena …; Bangsa Indonesia adalah bangsa yang toleransi; Bangsa Indonesia adalah bangsa yang beragam;Bangsa Indonesia memiliki semboyan Bhinneka Tunggal Ika; Dengan persatuan dan kesatuan bangsa Indonesia yang majemuk akan menjadi kokoh dan kuat;4
25;Hakikat wawasan nusantara adalah …; Kesatuan dan keutuhan TNI dan Polri;Kesatuan rakyat dan pemerintah;Keutuhan nusantara yang meliputi Darat, Laut dan Udara; Keutuhan nusantara yang menyeluruh dalam lingkup nusantara demi kepentingan nasional;4
26;Secara Etimologis, wawasan nusantara berasal dari kata wawasan dan nusantara. Wawasan berasal dari kata wawas yang berarti melihat atau memandang. Kata “wawas” diambil dari bahasa...;Sunda;Lampung;Jawa;Melayu;3
27; Indonesia biasa disebut dengan kata “nusantara”. Maka, nusantara adalah kesatuan kepulauan yang terletak antara dua benua, yaitu...;Asia dan Australia;Asia dan Amerika;Asia dan Afrika;Amerika dan Australia;1
28;Secara Geografis, Indonesia terletak diantara dua samudera, yaitu...;Samudra Hindia dan Selatan;Samudra Hindia dan Pasifik;Samudra Pasifik dan Atlantik;Samudra Atlantik dan Selatan;1
29;Wawasan nusantara adalah cara pandang bangsa indonesia mengenai diri dan tanah airnya sebagai Negara kepulauan dengan semua aspek kehidupan beragam. Pengertian wawasan nusantara diatas merupakan pendapat dari...;GBHN 1998;Samsul Wahidin;Kelompok Kerja LEMHANAS;Prof. Wan Usman;4
30;Wawasan nusantara dalam strata nasional berkedudukan sebagai...;Landasan Misional;Landasan Visional;Landasan Harapan bangsa;Landasan Cita-Cita bangsa;2
31;Untuk pertama kalinya wawasan nusantara dan ketahanan nasional dimuat didalam...;Pancasila;UUD 1945;Tap No V/MPR/1973;Kelompok Kerja LEMHANAS;3
32; Wawasan nusantara berfungsi sebagai pedoman, motivasi, dorongan dan rambu-rambu dalam...;Menentukan arah dan tujuan negara dalam berhubungan dengan negara lain;Menentukan segala kebijakan yang berhubungan dengan penentuan politik luar negeri;Menentukan segala kebijakan yang berkaitan dengan bidang politik dan sosial budaya;Menentukan segala kebijakan, keputusan, tindakan dan perbuatan bagi penyelenggaraan negara di pusat dan daerah;4
33;Persatuan dalam keberagaman harus dipahami oleh setiap warga masyarakat agar dapat mewujudkan hal-hal berikut ini, kecuali...;Terbentuknya satu masyarakat yang sama ras, agama, suku dan bahasa;Kehidupan yang serasi, selaras dan seimbang;Perbedaan yang ada tidak menjadi sumber masalah;Pergaulan antar sesama yang lebih akrab;1
34;Pada hakikatnya wawasan nusantara adalah cara pandang bangsa Indonesia terhadap diri dan lingkungannya berdasarkan pancasila dan UUD NRI tahun 1945. Dengan demikian fungsi wawasan nusantara adalah...;Mewujudkan nasionalisme yang tinggi disegala aspek kehidupan rakyat Indonesia yang lebih mengutamkan kepentingan nasional daripada kepentingan individu, kelompok, golongan, suku bangsa dan daerah;Pedoman, motivasi, dorongan serta rambu-rambu dalam menentukan segala kebijakan, keputusan, tindakan dan perbuatan bagi penyelenggara negara ditingkat pusat dan daerah bagi seluruh rakyat Indonesia dalam kehidupan bermasyarakat, berbangsa dan bernegara;Pedoman untuk mengadakan hubungan antarbangsa berlandaskan persamaan kedudukan sebagai bangsa yang merdeka dan berdaulat;Mewujudkan bangsa Indonesia yang maju dan sejahtera berdasarkan Pancasila dan UUD Negara RI Tahun 1945;2
